Date/Time,Electricity:Facility [J](Hourly),CO2:Facility [kg](Hourly),CO:Facility [kg](Hourly),CH4:Facility [kg](Hourly),NOx:Facility [kg](Hourly),N2O:Facility [kg](Hourly),SO2:Facility [kg](Hourly),PM:Facility [kg](Hourly),PM10:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),NH3:Facility [kg](Hourly),NMVOC:Facility [kg](Hourly),Hg:Facility [kg](Hourly),Pb:Facility [kg](Hourly),WaterEnvironmentalFactors:Facility [L](Hourly),Nuclear High:Facility [kg](Hourly),Nuclear Low:Facility [m3](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 01/01  24:00:00,780481721.856115,131.38096236709814,0.032828309992023165,0.0010915645655900814,0.3205852086975648,0.0018881101622454392,0.6756872215442162,0.023088756633152893,0.014083792670893592,0.009004963962259298,0.0008650625260536622,0.0029059832046213104,0.0000026256497797650306,0.0,1639.5891723720151,0.0,0.0,35.986857341247855 
 01/02  01:00:00,708242926.3469672,119.22077692206152,0.029789830670835595,0.0009905329754444886,0.29091290672579584,0.0017133529577015292,0.6131478568692863,0.020951738017244426,0.012780243605931023,0.008171494411313403,0.0007849952122751882,0.0026370150525261904,0.0000023826283582408864,0.0,1487.834245094128,0.0,0.0,32.656033369728206 
 01/02  02:00:00,729150047.9510872,122.74013897725852,0.03066921765689945,0.0010197732157633357,0.2995005696460529,0.0017639306300013524,0.6312478001627427,0.02157022712352263,0.013157512615277367,0.008412714508245258,0.0008081680386475466,0.0027148589565372423,0.0000024529628423141706,0.0,1531.754671732767,0.0,0.0,33.62002981130316 
 01/02  03:00:00,725169060.8430104,122.07000679762679,0.03050177096955436,0.0010142054947756957,0.297865367248449,0.001754299985228977,0.6278013362126802,0.02145245877620052,0.013085675702912119,0.008366783073288399,0.0008037556319665674,0.002700036467617997,0.000002439570244344405,0.0,1523.3916528753455,0.0,0.0,33.436472386287484 
 01/02  04:00:00,721466925.8703973,121.446814681919,0.030346053249190298,0.0010090277702499684,0.2963447042020433,0.0017453439283886304,0.6245962832007049,0.0213429396279462,0.013018870677331318,0.008324068950614882,0.0007996522966269722,0.0026862522344317675,0.0000024271157439976384,0.0,1515.6144298529784,0.0,0.0,33.265772420629574 
 01/02  05:00:00,717558728.8832521,120.78893549408838,0.030181668230795797,0.0010035618519240808,0.2947394005649825,0.0017358893745652087,0.6212128359148268,0.021227324608934586,0.012948347262698284,0.008278977346236298,0.0007953205683323303,0.0026717007664255905,0.000002413968022185304,0.0,1507.404324114203,0.0,0.0,33.085571240384866 
 01/02  06:00:00,714042372.4637406,120.19701607114216,0.030033764653620867,0.0009986439531955932,0.29329504661659883,0.0017273827457693826,0.6181686171554066,0.021123301291883098,0.012884894611108196,0.008238406680774898,0.0007914231443676361,0.0026586082462416944,0.000002402138506900168,0.0,1500.0173735294782,0.0,0.0,32.92343724891995 
 01/02  07:00:00,811372862.0977157,136.58096592888137,0.03412764077640928,0.0011347682347268991,0.333273837225223,0.0019628407730723106,0.7024306392767176,0.0240025999675781,0.01464122329655328,0.009361376671024815,0.0008993013391632453,0.003021000804905667,0.0000027295719002974096,0.0,1704.4834263231555,0.0,0.0,37.411202109167874 
 01/02  08:00:00,821764485.6692712,138.330220866128,0.03456472909042662,0.0011493017308383579,0.3375422277821101,0.001987979773151674,0.7114269899429438,0.024310012250208346,0.014828740143901996,0.00948127210630635,0.0009108191029812503,0.003059692144782111,0.000002764530776819422,0.0,1726.3135256248647,0.0,0.0,37.89034449590331 
 01/02  09:00:00,901028080.4681026,151.6729130442108,0.03789868270941714,0.0012601580507249177,0.3700999871365145,0.0021797310911452154,0.7800479411317308,0.02665484339606374,0.01625905171204691,0.010395791684016827,0.0009986724935484308,0.003354815872568496,0.000003031184606625962,0.0,1892.8257297625619,0.0,0.0,41.54507156830216 
 01/02  10:00:00,903994771.5675408,152.17230556139,0.03802346648376527,0.0012643071996293878,0.371318564405682,0.002186907991585332,0.7826162975839385,0.026742606128851085,0.01631258565293627,0.010430020475914813,0.0010019606849623153,0.0033658618128728558,0.000003041164970821226,0.0,1899.0579764227955,0.0,0.0,41.68186130518047 
 01/02  11:00:00,893921209.7768751,150.47659097197638,0.037599756357151,0.0012502185377273223,0.3671808186794807,0.0021625384338438253,0.7738953028613439,0.026444602972466362,0.016130808230423704,0.01031379474204265,0.000990795451280395,0.0033283547187864344,0.0000030072760986587764,0.0,1877.8960422266725,0.0,0.0,41.21738427653615 
 01/02  12:00:00,883794318.3903341,148.77189924263422,0.03717380310240688,0.0012360552902257165,0.3630211676617849,0.0021380398632771607,0.7651281390543824,0.026145022182645736,0.015948068475353575,0.010196953707292157,0.0009795711086742947,0.003290649061549099,0.0000029732078182696584,0.0,1856.6220764153104,0.0,0.0,40.750448299136096 
 01/02  13:00:00,874420584.1273115,147.19398883940204,0.03677952884132932,0.0012229453917076067,0.3591708781920455,0.002115363300297427,0.7570130067171215,0.025867721814063015,0.01577891944057733,0.01008880237348568,0.0009691815428291882,0.0032557476492929014,0.0000029416732638860535,0.0,1836.9302978996081,0.0,0.0,40.318239282279265 
