,Unnamed: 0_our,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep)_our,Whole Building:Facility Total Electricity Demand Rate [W](Hourly)_our,Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly)_our,WEST ZONE:Zone Air Temperature [C](TimeStep)_our,EAST ZONE:Zone Air Temperature [C](TimeStep)_our,WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_our,EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_our,WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_our,EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_our,Unnamed: 0_easy,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep)_easy,Whole Building:Facility Total Electricity Demand Rate [W](Hourly)_easy,Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly)_easy,WEST ZONE:Zone Air Temperature [C](TimeStep)_easy,EAST ZONE:Zone Air Temperature [C](TimeStep)_easy,WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_easy,EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_easy,WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_easy,EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_easy
2246,2246, 04/04  15:00:00,15.6,148960.5493,24.61663044,23.00405044,24.95672442,10.99803,14.812781,5.631695267,6.08857,2246,15.6,165929.6556,27.42087774,39.56423645,41.54879293,17.072084,16.278743,2.98818725,2.84935525
2247,2247, 04/04  16:00:00,15,140188.8383,23.16705222,21.18079067,25.70393851,10,16.103114,5.467363025,5.7091005,2247,15,154237.0799,25.48860899,39.51342884,41.49671616,17.089384,16.295201,2.98925,2.85027675
2248,2248, 04/04  17:00:00,13.9,140001.7907,23.13614147,23.13625833,25.80810797,17.565416,12.698613,5.415354267,6.3267685,2248,13.9,154292.8743,25.49782935,39.47538438,41.44261932,17.108357,16.319925,2.9928425,2.854425
2249,2249, 04/04  18:00:00,12.8,136472.5534,22.5529137,25.67243076,24.23833214,22.328676,12.632944,5.473375008,5.827298,2249,12.8,153848.6732,25.42442245,39.40292079,41.35991235,17.131292,16.347318,2.99609275,2.85865575
2250,2250, 04/04  19:00:00,12.2,113335.6863,18.72940666,18.61694471,28.44511837,12.215548,18.824682,6.194161275,5.44250575,2250,12.2,134440.7464,22.21714533,36.68861151,38.543135,18.176415,17.43116,3.1144045,2.98296125
2251,2251, 04/04  20:00:00,11.7,126331.3165,20.87701306,21.83246268,24.27476923,17.712739,10,5.094365517,5.9255595,2251,11.7,143294.9747,23.68036002,36.9499973,38.71089982,18.147456,17.435342,3.18517175,3.058293
2252,2252, 04/04  21:00:00,11.7,106497.3861,17.59933626,22.04637547,22.65002463,14.044415,12.726421,5.814934258,6.36018875,2252,11.7,140934.7642,23.29032098,36.79808372,38.56599532,18.156916,17.460042,3.17286525,3.05094175
2253,2253, 04/04  22:00:00,11.1,106199.6832,17.55013906,23.48188862,22.31731845,20.567332,10,5.567640525,6.6858675,2253,11.1,140752.0255,23.26012231,36.76530627,38.54901482,18.198497,17.481189,3.183948,3.05893175
2254,2254, 04/04  23:00:00,11.1,107360.7803,17.74201736,24.60379603,22.16858311,18.185854,14.422376,5.933027517,5.81011275,2254,11.1,140952.3781,23.29323179,36.75046474,38.51453581,18.194228,17.489535,3.18366175,3.05972125
2255,2255, 04/05  00:00:00,11.1,110812.5206,18.3124383,21.87887821,24.46553217,11.337805,19.545924,6.048593275,5.438942,2255,11.1,137983.2882,22.80257174,36.71061773,38.48669116,18.213892,17.503654,3.18631425,3.062393
2256,2256, 04/05  01:00:00,11.1,86150.09603,14.23682369,24.57147873,22.70467045,22.630026,10.777603,6.066941525,5.28285225,2256,11.1,108961.0393,18.00646984,33.28941715,34.96861389,19.574456,18.902614,3.34579825,3.228399
2257,2257, 04/05  02:00:00,11.1,77737.1092,12.8465268,24.55495872,19.49185756,25.806981,13.148721,6.065555025,5.33364175,2257,11.1,119118.285,19.68501603,33.61627042,35.17482981,19.461168,18.826452,3.4177055,3.3037785
2258,2258, 04/05  03:00:00,10.6,92165.47416,15.23090125,24.09543801,21.10143484,16.010878,19.835954,5.6656325,6.2497775,2258,10.6,113347.932,18.73143035,33.34564228,34.95566261,19.541255,18.908539,3.4113695,3.30254025
2259,2259, 04/05  04:00:00,10.6,90191.79639,14.90473908,26.5267193,25.32356396,21.00014,14.854803,6.086955525,5.24533175,2259,10.6,122245.2889,20.20177231,33.38691652,34.97926658,19.551052,18.907284,3.42298975,3.30983425
2260,2260, 04/05  05:00:00,11.1,85163.26172,14.07374336,21.45818198,25.71421731,10.066812,16.620412,5.894279017,4.9880815,2260,11.1,113572.845,18.76859857,33.33038143,34.92400155,19.560184,18.92648,3.4213765,3.31054875
2261,2261, 04/05  06:00:00,11.1,88080.73828,14.55587398,25.15166883,21.19224625,21.212615,11.580463,6.004428767,6.565429,2261,11.1,113565.1468,18.76732641,33.31217898,34.9109634,19.575769,18.934828,3.425266,3.31325275
2262,2262, 04/05  07:00:00,11.1,106898.6135,17.66564151,25.56842397,25.0923069,21.175991,16.026537,5.542970267,5.12597075,2262,11.1,140693.0836,23.2503818,35.89121922,37.58699776,18.5117,17.836634,3.30004675,3.1822625
2263,2263, 04/05  08:00:00,11.7,110973.2707,18.33900323,22.28862243,24.32295669,12.570149,14.17839,5.166631508,6.2713075,2263,11.7,136897.1818,22.6230861,35.84652843,37.59646469,18.583959,17.88855,3.25075925,3.13076225
2264,2264, 04/05  09:00:00,12.2,133205.2836,22.01297763,26.83733212,23.47893041,14.555575,11.647411,5.679288267,6.626324,2264,12.2,161512.5211,26.69091959,38.96110294,40.82652428,17.332376,16.592216,3.10985775,2.98105325
2265,2265, 04/05  10:00:00,12.8,128419.9948,21.22217976,20.90191112,24.4930371,10.839133,15.565877,5.853576775,6.058534,2265,12.8,163714.9241,27.05487998,39.03667939,40.94214391,17.300374,16.552846,3.02964875,2.8995945
2266,2266, 04/05  11:00:00,14.4,136479.7499,22.55410296,24.55866253,25.18495201,19.842646,11.400105,5.968370517,6.10107925,2266,14.4,166606.0442,27.53265505,39.21248092,41.12405466,17.22899,16.460804,3.01982625,2.8854015
2267,2267, 04/05  12:00:00,15,141815.1414,23.43580864,23.71183604,24.42030838,11.843779,12.505836,6.129035767,5.692568,2267,15,166406.6889,27.49971037,39.27211395,41.2116284,17.191766,16.419747,3.010303,2.8760435
2268,2268, 04/05  13:00:00,15.6,143743.9996,23.7545641,23.31958872,26.39941361,12.241198,14.322518,5.801868,6.29671675,2268,15.6,163318.8553,26.98942724,39.26637562,41.22675561,17.195438,16.412896,3.008876,2.87248625
2269,2269, 04/05  14:00:00,15.6,138653.6302,22.9133498,26.06390033,25.34967264,13.802003,17.334771,5.223080517,5.84260275,2269,15.6,166187.5553,27.46349723,39.31469346,41.27419013,17.179034,16.39451,3.007683,2.870354
2270,2270, 04/05  15:00:00,15.6,146102.7495,24.14436176,27.9413529,22.23412976,18.32838,10,4.924760017,6.31073075,2270,15.6,166211.2783,27.4674176,39.35600345,41.32008133,17.16167,16.377092,3.0043425,2.86716625
2271,2271, 04/05  16:00:00,14.4,141661.613,23.41043714,29.41666321,21.25805561,16.279746,12.304986,5.370426767,5.61932525,2271,14.4,160351.2505,26.49901261,39.33857617,41.30358461,17.158814,16.372887,3.00243,2.86487575
2272,2272, 04/05  17:00:00,13.9,140382.1461,23.19899751,23.95261049,26.13655446,12.708765,14.767615,5.412205258,5.51200725,2272,13.9,157409.4272,26.01285855,39.33385349,41.30196977,17.171075,16.383942,3.00462625,2.8669615
2273,2273, 04/05  18:00:00,11.7,132869.7969,21.95753642,24.69479326,23.09116098,16.032485,10,5.890351758,6.268956,2273,11.7,156927.7528,25.93325893,39.25037957,41.20921978,17.187198,16.402965,3.00563125,2.8680765
2274,2274, 04/05  19:00:00,11.1,112832.607,18.64626977,26.29497157,21.5709521,13.555373,15.590941,6.143109275,5.79001475,2274,11.1,134581.0159,22.24032571,36.55903864,38.41874339,18.229578,17.482645,3.12458925,2.9929325
2275,2275, 04/05  20:00:00,10.6,116226.47,19.20712613,23.60728485,27.46126977,13.1435,14.255594,5.907818517,5.4502115,2275,10.6,143440.3876,23.70439038,36.81208697,38.58149072,18.201628,17.486204,3.19437425,3.067014
2276,2276, 04/05  21:00:00,10,113357.5291,18.73301632,24.18623647,22.96787607,15.72118,10,5.615286758,6.62406825,2276,10,141062.1242,23.31136799,36.66289442,38.43726152,18.211288,17.511228,3.1824885,3.0599725
2277,2277, 04/05  22:00:00,10,107996.6482,17.84709838,24.03179813,27.08071023,12.037439,17.775902,5.553951008,4.969377,2277,10,140524.5797,23.22253552,36.63976484,38.42776656,18.250262,17.531345,3.19323775,3.06787325
2278,2278, 04/05  23:00:00,10,115795.3361,19.13587866,23.87859903,23.98816782,14.581579,10,5.566670008,6.12844675,2278,10,140716.4097,23.25423658,36.62105082,38.38814931,18.244448,17.538576,3.19236825,3.068162
2279,2279, 04/06  00:00:00,10,106339.6703,17.57327277,20.89985596,22.70269629,13.839345,13.464388,5.840434017,6.3303325,2279,10,138107.1782,22.82304532,36.57942804,38.35794796,18.266782,17.55541,3.19553175,3.0714015
2280,2280, 04/06  01:00:00,10.6,77060.71298,12.73474824,23.71310639,21.56716136,16.182502,16.688435,5.570204758,5.14393525,2280,10.6,109109.2736,18.03096644,33.20269756,34.87846076,19.61117,18.941098,3.353621,3.23625725
2281,2281, 04/06  02:00:00,10.6,84921.30512,14.03375857,20.00977945,23.98398735,12.527245,17.001893,5.989490525,6.10488,2281,10.6,119240.1477,19.70515458,33.51048991,35.07247167,19.501373,18.865612,3.42413,3.3102205
2282,2282, 04/06  03:00:00,10.6,83277.92254,13.76217967,25.04270941,21.87959318,21.908269,10.902267,5.258876008,6.14877575,2282,10.6,113458.4121,18.74968785,33.25328547,34.86311601,19.58051,18.947206,3.41862,3.309569
2283,2283, 04/06  04:00:00,10,82829.6948,13.68810733,26.77513507,21.6559237,20.390279,14.895046,5.563139,5.9345545,2283,10,121941.2279,20.15152439,33.29995963,34.89184821,19.585622,18.942083,3.4291775,3.3160655
2284,2284, 04/06  05:00:00,10,90603.11967,14.97271274,24.23969122,23.16777545,14.934839,13.595396,5.963749017,6.007848,2284,10,113676.8786,18.78579075,33.24892162,34.84367527,19.593559,18.959353,3.427373,3.3165125
2285,2285, 04/06  06:00:00,9.4,77068.24622,12.73599315,19.81312744,24.14727689,14.744397,17.156387,5.909246517,5.8985305,2285,9.4,113663.8014,18.78362967,33.19207621,34.78743319,19.616689,18.976557,3.431487,3.319492
2286,2286, 04/06  07:00:00,10.6,106609.9677,17.61794104,24.25275548,22.88219591,17.526583,11.045409,5.18181525,5.4549465,2286,10.6,140846.5986,23.27575108,35.80889882,37.50693658,18.55074,17.875053,3.308061,3.19035775
2287,2287, 04/06  08:00:00,10.6,104689.6338,17.30059427,22.38890607,20.60934639,11.628837,11.660371,5.61716125,6.2023795,2287,10.6,136708.0924,22.59183793,35.79718351,37.54741552,18.606202,17.911665,3.25549025,3.13556775
2288,2288, 04/06  09:00:00,11.7,121933.5933,20.15026273,24.03371607,27.60270953,18.637503,18.35714,5.414438008,6.10911125,2288,11.7,161547.2757,26.696663,38.972438,40.84558586,17.335284,16.592665,3.11201675,2.9829735
2289,2289, 04/06  10:00:00,13.3,142060.6083,23.47637353,24.2455926,23.32048458,19.416901,10.548033,5.940270267,6.3968035,2289,13.3,160254.4175,26.48301037,38.98413416,40.89421583,17.315738,16.568527,3.03036725,2.90007675
2290,2290, 04/06  11:00:00,14.4,130241.7661,21.52323847,22.98366674,23.22766694,14.387342,16.771815,6.101279525,6.3951835,2290,14.4,166101.8603,27.44933561,39.19905468,41.12889046,17.241788,16.464286,3.02311775,2.88758125
2291,2291, 04/06  12:00:00,15,144227.2654,23.8344267,26.68230694,24.73823671,16.418544,12.072916,5.368995017,4.9535925,2291,15,165882.6351,27.41310732,39.32499489,41.27297022,17.174374,16.39974,3.00917075,2.87415325
2292,2292, 04/06  13:00:00,15.6,145561.6855,24.05494766,22.3819956,25.72727039,10,14.646299,6.108003775,6.49086825,2292,15.6,165651.5994,27.37492727,39.31085659,41.29577307,17.174932,16.38424,3.00508575,2.867712
2293,2293, 04/06  14:00:00,15,142118.5143,23.48594284,21.16267619,27.73025664,13.0495,11.543083,6.159209775,5.5777705,2293,15,165652.9761,27.37515479,39.38533163,41.37629662,17.156039,16.358602,3.00429225,2.86493775
2294,2294, 04/06  15:00:00,15,144490.3117,23.87789667,22.05865651,21.97718979,15.785965,10,6.099740517,6.016929,2294,15,162689.7342,26.88546117,39.38811737,41.37654445,17.138426,16.344524,2.99946375,2.86037875
2295,2295, 04/06  16:00:00,14.4,140066.7316,23.14687335,26.07936206,23.95913706,15.518289,14.074151,6.099931275,5.3679775,2295,14.4,153841.6862,25.42326779,39.35002687,41.34856042,17.161854,16.36201,3.00204675,2.86239575
2296,2296, 04/06  17:00:00,13.3,136790.059,22.60538341,25.0191381,27.56239195,14.960698,13.417041,6.118422775,5.88354425,2296,13.3,162733.9315,26.89276504,39.36974605,41.34723792,17.149146,16.355437,3.00192125,2.86246775
2297,2297, 04/06  18:00:00,12.2,130893.6644,21.6309686,26.97305785,24.94112163,18.595988,17.542607,6.238913033,6.23546775,2297,12.2,153926.4833,25.43728102,39.29269118,41.25645209,17.175302,16.38839,3.0035485,2.86551725
2298,2298, 04/06  19:00:00,11.1,117140.7128,19.35821028,23.69634261,23.63386032,13.504252,19.30557,6.050365267,6.52386975,2298,11.1,134538.4801,22.2332964,36.6146801,38.46693683,18.208383,17.463018,3.1210745,2.98936375
2299,2299, 04/06  20:00:00,11.1,108863.3828,17.9903315,25.12251676,21.95272857,13.35362,14.737259,5.047644258,6.606568,2299,11.1,143382.1171,23.69476084,36.87794716,38.63059243,18.176204,17.467001,3.19019225,3.06366
