,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly),CH4:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),SO2:Facility [kg](Hourly),NOx:Facility [kg](Hourly),Reward
62, 01/03  15:00:00,16.1,121986.48056793812,20.159002669791903,23.746988213231734,24.010161905253774,10.0,10.0,3.46791625,4.08134275,0.0184714075838029,0.000614187388871,0.0050667963006553,0.3801869201108219,0.1803827262698002,0.6261810419346234
63, 01/03  16:00:00,13.9,123213.47509600694,20.361770926175723,22.773380723611016,23.8558922024094,10.0,10.0,3.59624425,4.11956825,0.0186572012547535,0.0006203651600621,0.0051177604018147,0.3840110100300282,0.1821970963299964,0.4761116001681025
64, 01/03  17:00:00,13.9,118542.66362975509,19.58989112129992,23.216769592121832,23.476425519062644,10.0,10.0,3.57996725,4.259217499999999,0.0179499387619055,0.0005968481810903,0.0049237548845796,0.3694538114166654,0.175290316970086,0.7893820477102922
65, 01/03  18:00:00,12.8,115468.75832070144,19.08190970365923,23.68116797928905,23.51232013146752,10.0,10.0,3.4535625000000003,4.27056975,0.0174844826099352,0.0005813714342687,0.0047960780143563,0.359873580995061,0.170744899991411,0.8328912634451204
66, 01/03  19:00:00,12.2,91875.31800479491,15.182951195277248,20.476189724457573,21.36376305717005,10.0,10.0,3.48837625,4.168809749999999,0.0139119223528457,0.0004625812746162,0.0038161074835581,0.2863415193537927,0.1358570249871246,-1.2197059982767675
67, 01/03  20:00:00,10.6,87980.75279326216,14.539350772251332,20.99698442032093,20.491358908725427,10.0,10.0,3.5006319999999995,4.36298425,0.0133222004340806,0.0004429726030083,0.0036543439134101,0.2742035943472691,0.1300980893475269,-1.263814818783664
68, 01/03  21:00:00,10.0,84534.69648070581,13.969869153619118,20.30151511837381,20.96898546017573,10.0,10.0,3.53406075,4.28956975,0.0128003925221742,0.0004256221202445,0.0035112094833075,0.2634635063481765,0.1250023686607416,-1.2552034204803588
69, 01/03  22:00:00,8.9,77814.41970207126,12.859302827813984,20.298016094386533,21.57284521874452,10.0,10.0,3.587858,4.085628999999999,0.0117827963846663,0.0003917863277211,0.0032320779487077,0.2425188793791378,0.1150650228091855,-0.995226065478133
70, 01/03  23:00:00,8.9,75031.74258600929,12.39944862798222,20.81508660003174,20.68362762043667,10.0,10.0,3.39978175,4.343216,0.0113614385182404,0.0003777758801368,0.0031164974511645,0.2338462999466222,0.1109502481047518,-1.1452426317306372
71, 01/04  00:00:00,8.9,77949.22616536223,12.881580410056994,20.960604889746207,21.503999680112376,10.0,10.0,3.4693292500000004,4.013847500000001,0.0118032090165971,0.0003924650621948,0.0032376772322211,0.2429390214625147,0.1152643625823637,-0.9234015908505244
72, 01/04  01:00:00,8.3,44441.42554819102,7.344213982601039,16.849058118902473,17.330185933046007,10.0,10.0,3.4911715,4.1994635,0.006729398873416,0.0002237572802172,0.0018459066079705,0.1385075512125395,0.0657160159255059,-1.6585766733226983
73, 01/04  02:00:00,7.8,44645.94065048632,7.378011338455463,16.208480157699476,17.1365344512547,10.0,10.0,3.58696575,4.259994,0.0067603669101521,0.000224786989379,0.0018544012899952,0.1391449494430302,0.0660184346160331,-1.6829876683168554
74, 01/04  03:00:00,8.3,44741.67399434415,7.393831851724089,16.051268925041736,17.264918096121562,10.0,10.0,3.5903927500000004,4.18904425,0.0067748630215698,0.0002252689953539,0.0018583776433603,0.1394433150076711,0.0661599965455158,-1.7598718891039231
75, 01/04  04:00:00,6.1,45650.27605405902,7.543983829732584,16.180884133781824,17.149350361203204,10.0,10.0,3.38086425,4.1934575,0.0069124451445914,0.0002298436984192,0.0018961170841041,0.1422750928988036,0.0675035562241184,-1.7381767189206905
76, 01/04  05:00:00,4.4,43778.82396160359,7.234715068534201,15.940904284831731,17.187980120386317,10.0,10.0,3.5416730000000003,4.244227499999999,0.0066290665749961,0.0002204211602108,0.0018183849739984,0.1364424661695709,0.0647362198033219,-1.6954163499185697
77, 01/04  06:00:00,6.1,41312.48586200777,6.827137801751171,15.642762830339462,16.582013515667377,10.0,10.0,3.5552385,4.27099125,0.0062556093192003,0.0002080034418668,0.0017159438452683,0.1287557989120866,0.0610892190189981,-1.782172257539442
78, 01/04  07:00:00,5.0,67833.17459653184,11.20984179087264,19.590740809266634,19.382278270026145,10.0,10.0,3.3505040000000004,4.31891775,0.0102714186837941,0.0003415319483791,0.0028174997467526,0.2114110154758684,0.1003056478741772,-1.3940862645834509
79, 01/04  08:00:00,6.7,68807.69414153334,11.370887031443448,19.35993308331921,19.69931364666596,10.0,10.0,3.46326875,4.1157425,0.0104189821484526,0.0003464385381254,0.0028579771177083,0.2144482338846376,0.101746680450182,-1.3809264837411308
80, 01/04  09:00:00,8.3,95209.16654882429,15.733889802464455,22.58852350660005,22.522648788456976,10.0,10.0,3.52985025,4.17458125,0.014416739566956,0.0004793668046406,0.0039545812832053,0.2967318970757286,0.1407868228347451,0.2355242373523284
81, 01/04  10:00:00,8.9,98528.7256160795,16.282466987311274,22.759580986591587,23.57727729995864,10.0,10.0,3.4879555000000004,4.05085375,0.0149193930433438,0.0004960803888528,0.0040924615591463,0.3070777397628028,0.1456954906787333,0.7029995140366245
82, 01/04  11:00:00,8.9,96905.87592665711,16.014281274686205,22.3338196403557,23.17401825030294,10.0,10.0,3.69869075,4.091602,0.014673658287156,0.0004879095341103,0.0040250553288443,0.3020199151386988,0.1432957653162078,0.4229642538027781
83, 01/04  12:00:00,10.0,102222.47947816068,16.892882122009567,22.998865154737047,24.110582100114684,10.0,10.0,3.53002925,3.97063025,0.0154787077541469,0.0005146779992529,0.0042458842853106,0.3185898097719871,0.1511574844071345,0.6346414312687036
84, 01/04  13:00:00,10.6,109282.78897254595,18.059640907771914,23.75119998786985,23.88779686489601,10.0,10.0,3.415644,4.109434,0.0165477922439315,0.0005502258159683,0.0045391393235827,0.3405941934479682,0.1615976403078245,0.7826311767449383
85, 01/04  14:00:00,10.6,110833.07408262344,18.315834885395404,23.97526495936802,23.79096694855944,10.0,10.0,3.50715925,4.088737,0.0167825391438012,0.0005580313167035,0.0046035315318351,0.3454258610110452,0.1638900636431753,0.7463992450043895
86, 01/04  15:00:00,10.0,110776.87859680704,18.306548241963046,22.908862130831544,22.63529714926633,10.0,10.0,3.55689525,4.386987749999999,0.0167740299244348,0.0005577483791309,0.0046011974118709,0.3452507203841725,0.1638069667713874,0.3905011865358534
87, 01/04  16:00:00,10.6,114192.8405167009,18.871056580448112,23.27047494110241,23.231111077734266,10.0,10.0,3.329194,4.20825075,0.0172912808904381,0.0005749473402149,0.0047430818497063,0.3558970152481103,0.1688581865547231,0.7847936221036185
88, 01/04  17:00:00,10.0,113454.94979965375,18.749115682852636,22.893805894934477,23.65848087446909,10.0,10.0,3.54058025,4.057328,0.0171795481793752,0.0005712321484112,0.0047124330274924,0.3535972817220145,0.1677670595822058,0.6792704503037925
