,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)
43, 01/02  20:00:00,11.7,140752.4754575148,23.26019666538053,36.70021072441811,38.46856488531326,18.250511,17.535758,3.2041042500000003,3.07709075
44, 01/02  21:00:00,10.0,139338.63958202393,23.02655174787842,36.54931073512678,38.32290008755835,18.253674,17.555187,3.18995425,3.06767075
45, 01/02  22:00:00,8.9,137727.93618977754,22.760373284221096,36.456220776774856,38.24350684882376,18.316664,17.597262,3.2029115,3.0774765
46, 01/02  23:00:00,9.4,138009.13165599218,22.80684253333593,36.44170888772126,38.20750383840005,18.319642,17.614052,3.205623,3.08148975
47, 01/03  00:00:00,8.9,138036.96192886587,22.81144165401349,36.40451870675605,38.18005522433536,18.335965,17.625712,3.2077322500000003,3.083746
48, 01/03  01:00:00,9.4,109035.20286775976,18.018725808621983,33.111032492492825,34.78346853557253,19.655094,18.986824,3.36371,3.246624
49, 01/03  02:00:00,10.0,117471.19153303176,19.41282388599737,33.436606371808445,34.99368846469042,19.531249,18.896394,3.4297395,3.31597275
50, 01/03  03:00:00,12.2,113266.1355324288,18.717912984821165,33.187534005003826,34.799072331710896,19.606447,18.972913,3.4234902500000004,3.31461775
51, 01/03  04:00:00,13.9,117578.51924309306,19.430560438307065,33.298770303385986,34.88771472747985,19.593104,18.948985,3.4323065,3.3190375
52, 01/03  05:00:00,12.8,114799.75358869178,18.9713526311386,33.24016001142859,34.83633937975106,19.593382,18.960908,3.42713125,3.31667025
53, 01/03  06:00:00,12.2,113347.77919221931,18.731405092700875,33.21210232178813,34.81179411272026,19.615731,18.973161,3.4320255,3.31968775
54, 01/03  07:00:00,11.1,138951.9562232802,22.96264998741294,35.744123457930506,37.44038078952367,18.564831,17.889057,3.30803025,3.1901695
55, 01/03  08:00:00,11.1,135158.2291135434,22.335713669735885,35.66832506880902,37.41237294175004,18.654458,17.96016,3.2621845,3.1422075000000005
56, 01/03  09:00:00,11.7,159840.72923273058,26.41464588815265,38.780079988641226,40.63983647023497,17.406056,16.668013,3.1225542500000003,2.99414075
57, 01/03  10:00:00,13.3,158945.31341105065,26.266673015619737,38.91828208966462,40.817809393121095,17.35735,16.612344,3.04115675,2.91152975
58, 01/03  11:00:00,12.2,160921.54531732167,26.59325727388479,39.10044633725218,40.99929063008376,17.265342,16.502659,3.02673975,2.89300425
59, 01/03  12:00:00,15.0,163479.63442821495,27.015996949428946,39.18601092776824,41.149489197217385,17.242946,16.464161,3.01929975,2.884995
60, 01/03  13:00:00,15.6,164334.78481527625,27.157315715701912,39.36644376398367,41.31925067192356,17.165668,16.383027,3.0091125,2.87168525
61, 01/03  14:00:00,16.1,164229.68801641944,27.13994783494269,39.42012003908869,41.41241030605531,17.134173,16.341514,2.9999985,2.86246425
62, 01/03  15:00:00,16.1,167934.09077229066,27.752122763655407,39.38716793445287,41.14992356125199,17.138032,16.410346,2.9983935,2.8628825000000004
63, 01/03  16:00:00,13.9,158991.65347099456,26.274330990403318,39.28320589118543,41.229895703778894,17.171625,16.431371,3.002558,2.8769955
64, 01/03  17:00:00,13.9,158464.88052979944,26.187278580345367,39.1428809440837,41.12396723153812,17.237104,16.432916,3.01221025,2.8721369999999995
65, 01/03  18:00:00,12.8,155170.3772377381,25.642842013677512,39.17605873332076,41.118364622643206,17.236633,16.461995,3.0174225,2.88069975
66, 01/03  19:00:00,12.2,134349.52344640618,22.202070173940346,36.5124076337139,38.37290116718417,18.250233,17.50373,3.1285605,2.997399
67, 01/03  20:00:00,10.6,140082.72853673738,23.14951694168346,36.74506131303218,38.5158304894908,18.223138,17.507142,3.1976915000000004,3.0702260000000003
68, 01/03  21:00:00,10.0,139239.01503339908,23.01008818952052,36.59802551877312,38.3812655077424,18.242162,17.538385,3.18780825,3.064936
69, 01/03  22:00:00,8.9,137720.163794375,22.75908884893826,36.55035118133409,38.34226349287712,18.276689,17.55564,3.1974455,3.07157625
70, 01/03  23:00:00,8.9,137868.08462530404,22.783533659639687,36.5183879271204,38.29157321016216,18.290703,17.582256,3.19994525,3.07539225
71, 01/04  00:00:00,8.9,140718.05505999812,23.25450848680366,36.509319950400574,38.29238872485172,18.295344,17.581984,3.20146425,3.0769445
72, 01/04  01:00:00,8.3,108882.65669072176,17.993516631540565,33.10369892428845,34.77916014716676,19.644588,18.973992,3.3588192500000003,3.24123975
73, 01/04  02:00:00,7.8,115999.3250483953,19.169589059849248,33.39102619287914,34.951195899843626,19.548989,18.914212,3.43193125,3.31813125
74, 01/04  03:00:00,8.3,113373.87944359035,18.735718316876387,33.1802929597443,34.7901554754058,19.614527,18.981065,3.4259145,3.31687775
75, 01/04  04:00:00,6.1,114834.03966059796,18.97701861159705,33.15769205688177,34.74518793380516,19.631438,18.989931,3.4353165,3.322373
76, 01/04  05:00:00,4.4,113557.6224755051,18.76608296264434,33.11111092939177,34.699447993408505,19.653936,19.021392,3.43808175,3.3274195000000004
77, 01/04  06:00:00,6.1,116430.92781340712,19.240914023498128,33.08525613246399,34.67385785697979,19.661493,19.024558,3.4401360000000003,3.3286745
78, 01/04  07:00:00,5.0,137782.75035319972,22.769431655785105,35.578913642464414,37.26566261770523,18.630118,17.957884,3.3185575,3.20138025
79, 01/04  08:00:00,6.7,135419.51053435152,22.37889200257339,35.560164936198944,37.29783229578365,18.707475,18.016355,3.27288375,3.153536
80, 01/04  09:00:00,8.3,160005.26018308656,26.441835621408732,38.65666060433962,40.51067787874713,17.452358,16.716374,3.1302775,3.0022715
81, 01/04  10:00:00,8.9,157675.18472623968,26.05677657931896,38.70534362952988,40.59691357958792,17.432416,16.690446,3.0518475,2.92268325
82, 01/04  11:00:00,8.9,160487.2291416163,26.521483902730743,38.94440533844031,40.84113678888868,17.345028,16.581433,3.04179575,2.908192
83, 01/04  12:00:00,10.0,160241.9930190246,26.48095715233153,39.11778339988848,41.03940258548996,17.263817,16.499109,3.02603675,2.8929975000000003
84, 01/04  13:00:00,10.6,160565.7367275461,26.53445775546417,39.16644321977552,41.12005354345535,17.240922,16.463464,3.0181375,2.88288225
85, 01/04  14:00:00,10.6,162344.346919383,26.82838383185254,39.24296340166104,41.19811205105419,17.20111,16.416322,3.0128515,2.8756035
86, 01/04  15:00:00,10.0,154092.0146612185,25.46463608497253,39.10485750209772,41.07047911412899,17.244636,16.460408,3.01385325,2.87698975
87, 01/04  16:00:00,10.6,154284.34020455196,25.49641904258781,39.06309336211946,41.020072576407735,17.26991,16.48475,3.0214187500000005,2.8838065000000004
88, 01/04  17:00:00,10.0,154422.3684550461,25.519229044624616,38.93064801163355,40.86741868418515,17.315027,16.539057,3.0263175,2.88995075
89, 01/04  18:00:00,10.0,154026.73686516503,25.45384853491949,38.874678902759584,40.80780838352607,17.351555,16.577866,3.0349255,2.8994595
90, 01/04  19:00:00,9.4,134709.19510543748,22.261508087887066,36.29601983858368,38.12970704518857,18.34123,17.605349,3.1470917500000004,3.01727325
91, 01/04  20:00:00,9.4,140425.72538248502,23.20619924202498,36.54368966614698,38.2988039612307,18.306417,17.59753,3.212474,3.08659175
92, 01/04  21:00:00,8.9,139507.27834090826,23.05442032130354,36.4310088641414,38.197974938945634,18.310532,17.613672,3.2008295,3.079098
