,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly),CH4:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),SO2:Facility [kg](Hourly),NOx:Facility [kg](Hourly),Reward
46, 01/02  23:00:00,9.4,109392.8935,18.07783634,22.44641292,23.82930374,15.323212,14.966971,6.238913033,6.475,0.016564464,0.00055078,0.004543713,0.340937349,0.161760453,0.701471307
47, 01/03  00:00:00,8.9,109398.7673,18.07880703,21.96609622,23.82092511,15.329096,14.971323,6.238913033,6.475,0.016565354,0.00055081,0.004543957,0.340955655,0.161769139,0.696738622
48, 01/03  01:00:00,9.4,80262.42341,13.26385023,20.64843078,22.57705984,15.873304,15.505386,6.238913033,6.475,0.012153477,0.000404112,0.003333758,0.250148405,0.118684912,-0.153378746
49, 01/03  02:00:00,10,83064.26839,13.72687203,19.21754399,22.27221517,15.942869,15.604734,6.238913033,6.475,0.012577738,0.000418219,0.003450134,0.258880724,0.122828031,-0.463959752
50, 01/03  03:00:00,12.2,86012.524,14.21408908,19.18558184,22.33347446,15.900985,15.553282,6.238913033,6.475,0.013024168,0.000433063,0.003572592,0.26806935,0.127187648,-0.400911038
51, 01/03  04:00:00,13.9,84517.68962,13.96705867,19.53765105,22.36293841,15.916269,15.560072,6.238913033,6.475,0.012797817,0.000425536,0.003510503,0.263410502,0.12497722,-0.438323061
52, 01/03  05:00:00,12.8,83163.73974,13.74331027,22.14474318,22.34729614,15.909257,15.55981,6.238913033,6.475,0.0125928,0.00041872,0.003454266,0.259190739,0.12297512,-0.394013916
53, 01/03  06:00:00,12.2,81736.78592,13.50749754,22.26599893,22.34125764,15.916411,15.562735,6.238913033,6.475,0.012376728,0.000411535,0.003394996,0.25474345,0.120865068,-0.401848528
54, 01/03  07:00:00,11.1,106129.5234,17.53854472,21.96429782,23.36897858,15.444604,15.098614,6.238913033,6.475,0.016070319,0.000534349,0.004408166,0.330766626,0.156934872,0.499489672
55, 01/03  08:00:00,11.1,108648.2318,17.9547765,22.20861851,23.63289253,15.416544,15.057809,6.238913033,6.475,0.016451706,0.000547031,0.004512783,0.338616512,0.160659314,0.619709163
56, 01/03  09:00:00,11.7,129196.2631,21.35046278,23.43341492,24.65702189,14.950587,14.59535,6.238913033,6.475,0.019563126,0.000650488,0.00536626,0.402657156,0.19104391,0.143709916
57, 01/03  10:00:00,13.3,132170.4116,21.84195877,23.88233555,24.96483344,14.887002,14.524982,6.238913033,6.475,0.020013476,0.000665462,0.005489793,0.411926481,0.195441815,-0.264114761
58, 01/03  11:00:00,12.2,129560.9617,21.41073142,24.23867494,24.91604538,14.900568,14.53808,6.238913033,6.475,0.019618349,0.000652324,0.005381408,0.403793787,0.191583193,-0.115991565
59, 01/03  12:00:00,15,138292.7959,22.85371977,23.58629507,24.97716991,14.876348,14.513802,6.238913033,6.475,0.020940539,0.000696288,0.005744091,0.431007698,0.204495051,-0.34095372
60, 01/03  13:00:00,15.6,143670.8769,23.74248014,24.18962018,25.0168743,14.865669,14.495144,6.238913033,6.475,0.021754897,0.000723366,0.005967473,0.447769195,0.212447677,-0.406743595
61, 01/03  14:00:00,16.1,131417.4355,21.71752493,24.37385708,25.02759399,14.856325,14.487225,6.238913033,6.475,0.019899459,0.000661671,0.005458518,0.409579732,0.194328381,-0.387370046
62, 01/03  15:00:00,16.1,143605.812,23.73172776,23.91644425,24.93720707,14.861209,14.516549,6.238913033,6.475,0.021745045,0.000723038,0.005964771,0.447566412,0.212351465,-0.375005707
63, 01/03  16:00:00,13.9,138599.3618,22.90438163,23.59597871,25.00741069,14.87178,14.510868,6.238913033,6.475,0.020986959,0.000697831,0.005756824,0.431963151,0.204948373,-0.307656518
64, 01/03  17:00:00,13.9,130332.8951,21.53829809,23.47689334,24.90705737,14.897002,14.536624,6.238913033,6.475,0.019735236,0.000656211,0.005413471,0.406199619,0.19272466,-0.122585779
65, 01/03  18:00:00,12.8,131878.7015,21.79375193,23.80808788,24.93405389,14.893176,14.525195,6.238913033,6.475,0.019969305,0.000663994,0.005477677,0.411017328,0.19501046,-0.196748196
66, 01/03  19:00:00,12.2,108182.5417,17.87781841,23.14688275,24.0881904,15.278708,14.908556,6.238913033,6.475,0.016381191,0.000544686,0.00449344,0.337165128,0.159970693,0.682602738
67, 01/03  20:00:00,10.6,110672.3972,18.28928206,21.96621439,23.83425646,15.314706,14.969383,6.238913033,6.475,0.016758209,0.000557222,0.004596858,0.34492509,0.163652469,0.709072637
68, 01/03  21:00:00,10,114902.0988,18.98826579,21.73170102,23.90021733,15.292287,14.933361,6.238913033,6.475,0.017398678,0.000578518,0.004772541,0.358107512,0.169906974,0.664362252
69, 01/03  22:00:00,8.9,109290.3326,18.06088753,21.81727771,23.86428765,15.311287,14.951868,6.238913033,6.475,0.016548935,0.000550264,0.004539453,0.340617704,0.161608795,0.70451152
70, 01/03  23:00:00,8.9,110733.2441,18.29933737,21.50222982,23.86579768,15.310866,14.954202,6.238913033,6.475,0.016767423,0.000557529,0.004599385,0.345114728,0.163742444,0.654542994
71, 01/04  00:00:00,8.9,110749.1113,18.30195953,21.79887073,23.86100194,15.313511,14.955365,6.238913033,6.475,0.016769825,0.000557609,0.004600044,0.34516418,0.163765907,0.706684686
72, 01/04  01:00:00,8.3,80210.18269,13.25521713,19.39981463,22.5766042,15.868836,15.500258,6.238913033,6.475,0.012145567,0.000403849,0.003331588,0.24998559,0.118607663,-0.154819935
73, 01/04  02:00:00,7.8,83060.20941,13.72620126,17.9105359,22.24836563,15.95041,15.611544,6.238913033,6.475,0.012577123,0.000418198,0.003449966,0.258868073,0.122822029,-0.487667617
74, 01/04  03:00:00,8.3,86063.54787,14.22252108,18.7658769,22.33068149,15.904827,15.556778,6.238913033,6.475,0.013031894,0.00043332,0.003574711,0.268228373,0.127263098,-0.404142155
75, 01/04  04:00:00,6.1,81744.39935,13.5087557,20.02869133,22.28859633,15.937586,15.58321,6.238913033,6.475,0.012377881,0.000411573,0.003395312,0.254767178,0.120876326,-0.458328845
76, 01/04  05:00:00,4.4,84656.82982,13.99005243,17.69170435,22.28962326,15.933628,15.583682,6.238913033,6.475,0.012818886,0.000426237,0.003516282,0.263844151,0.125182969,-0.510195886
77, 01/04  06:00:00,6.1,81857.35329,13.52742202,20.04249084,22.27192784,15.942168,15.589637,6.238913033,6.475,0.012394985,0.000412142,0.003400004,0.255119214,0.121043352,-0.473541305
