,Unnamed: 0_our,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep)_our,Whole Building:Facility Total Electricity Demand Rate [W](Hourly)_our,Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly)_our,WEST ZONE:Zone Air Temperature [C](TimeStep)_our,EAST ZONE:Zone Air Temperature [C](TimeStep)_our,WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_our,EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_our,WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_our,EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_our,Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly)_our,CH4:Facility [kg](Hourly)_our,PM2.5:Facility [kg](Hourly)_our,SO2:Facility [kg](Hourly)_our,NOx:Facility [kg](Hourly)_our,Reward_our,Unnamed: 0_easy,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep)_easy,Whole Building:Facility Total Electricity Demand Rate [W](Hourly)_easy,Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly)_easy,WEST ZONE:Zone Air Temperature [C](TimeStep)_easy,EAST ZONE:Zone Air Temperature [C](TimeStep)_easy,WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_easy,EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_easy,WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_easy,EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_easy,Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly)_easy,CH4:Facility [kg](Hourly)_easy,PM2.5:Facility [kg](Hourly)_easy,SO2:Facility [kg](Hourly)_easy,NOx:Facility [kg](Hourly)_easy,Reward_easy
20,20,01/01  21:00:00,8.9,79430.36098432250,13.126346884429700,23.414036507491600,23.37519521323910,13.98056500000000,15.075390000000000,5.167227250000000,5.338612250000000,0.0120274850576814,0.000399922399457,0.0032991972333437,0.2475551730431470,0.1174545326354160,-1.1020818006877900,20,8.9,113513.1494,18.75873353,22.90131898,23.87980356,15.298122,14.939362,6.238913033,6.475,0.017188361,0.000571525,0.00471485,0.353778669,0.16785312,0.717752352
21,21,01/01  22:00:00,9.4,75057.19782111530,12.40365525932430,22.653812296449200,22.65834316392890,17.731431000000000,10.889542000000000,5.138016,5.334318250000000,0.0113652929947414,0.0003779040442113,0.0031175547526824,0.2339256345367390,0.1109878890358200,-1.120094163163820,21,9.4,110695.2075,18.2930516,22.54336276,23.87488834,15.312768,14.952431,6.238913033,6.475,0.016761663,0.000557337,0.004597805,0.344996182,0.163686199,0.649570261
22,22,01/01  23:00:00,7.8,75037.66567872170,12.400427454826400,20.474758187668500,21.99101510162760,12.937648000000000,9.999999999999990,5.028876000000000,5.402009250000000,0.0113623354033636,0.0003778057022026,0.0031167434710849,0.2338647600445400,0.1109590066459150,-1.1328111705246500,22,7.8,110743.1927,18.30098144,22.49990816,23.85154144,15.313354,14.95626,6.238913033,6.475,0.016768929,0.000557579,0.004599798,0.345145734,0.163757155,0.706111593
23,23,01/02  00:00:00,6.7,75361.63957926740,12.453966098581300,21.46019613158140,20.31025938769610,14.902521000000000,10.0,5.099580250000000,5.343241,0.0114113921015783,0.0003794368721741,0.0031301999603053,0.2348744673405560,0.1114380703515700,-1.0914478318502700,23,6.7,109345.6392,18.07002729,22.68088778,23.8461872,15.320232,14.961277,6.238913033,6.475,0.016557309,0.000550542,0.00454175,0.340790075,0.161690578,0.702413965
24,24,01/02  01:00:00,8.9,42348.49379185540,6.998344369286260,21.02042710833740,20.18859398800670,15.498876000000000,11.281788,5.171083000000000,5.208611500000000,0.0064124834633118,0.0002132196183015,0.0017589751805602,0.1319846539641000,0.0626211751337494,-1.6707906655032800,24,8.9,80231.76834,13.25878429,20.32682123,22.5789562,15.872359,15.50321,6.238913033,6.475,0.012148836,0.000403957,0.003332484,0.250052865,0.118639582,-0.152147726
25,25,01/02  02:00:00,6.1,44004.40927638430,7.271994404258600,20.013887062524800,19.707330092476800,12.547745000000000,14.699854000000000,5.054951750000000,5.2278885000000000,0.0066632251003904,0.000221556955381,0.0018277548224693,0.1371455324901130,0.0650697952446096,-1.70933231713914,25,6.1,83054.52597,13.72526204,19.11523981,22.22731893,15.955621,15.6178,6.238913033,6.475,0.012576262,0.00041817,0.00344973,0.25885036,0.122813625,-0.50806514
26,26,01/02  03:00:00,5.6,43019.69459289800,7.109264355478090,19.253638976856100,18.9624754928138,16.060058000000000,10.000000000000000,5.104168000000000,5.267037500000000,0.0065141178699191,0.0002165990343276,0.0017868539890961,0.134076539590575,0.0636136870072198,-1.714131983822060,26,5.6,86062.40765,14.22233265,21.35968133,22.29555586,15.918223,15.568875,6.238913033,6.475,0.013031721,0.000433314,0.003574664,0.268224819,0.127261412,-0.441816232
27,27,01/02  04:00:00,3.9,44006.24970762910,7.272298546637370,22.53178128330750,20.5995756387664,14.196052000000000,13.886659000000000,5.15024725,5.374678250000000,0.0066635037817286,0.0002215662217329,0.0018278312661061,0.1371512684362880,0.0650725167101679,-1.687779517078580,27,3.9,83277.35197,13.76208538,18.66922623,22.2784297,15.945884,15.591358,6.238913033,6.475,0.012610003,0.000419292,0.003458985,0.259544827,0.12314312,-0.528180619
28,28,01/02  05:00:00,5.6,42395.37051590030,7.006091031053820,24.28012722824300,20.608216862943400,17.916724000000000,13.51953300000000,5.2029265,5.52291625,0.0064195816193697,0.0002134556370193,0.0017609222390446,0.1321307514435630,0.0626904922518633,-1.7207978043161800,28,5.6,84697.54666,13.99678113,18.49131683,22.28091799,15.937256,15.587654,6.238913033,6.475,0.012825052,0.000426442,0.003517974,0.26397105,0.125243177,-0.462944365
29,29,01/02  06:00:00,7.2,43870.1129486732,7.249801125001200,21.23473080350180,17.310102330890700,17.237532,10.0,5.0718385000000000,5.353294250000000,0.0066428897140868,0.0002208807893791,0.0018221767278044,0.136726980311404,0.0648712098144228,-1.6714307254819700,29,7.2,86039.89272,14.21861192,18.75146077,22.28796695,15.938358,15.585123,6.238913033,6.475,0.013028312,0.000433201,0.003573729,0.268154649,0.127228119,-0.513363865
30,30,01/02  07:00:00,7.8,69319.57228843230,11.455477986784600,22.727313706080800,21.705699766604900,15.043579000000000,11.95435000000000,5.048577500000000,5.459348000000000,0.0104964916383616,0.0003490157835792,0.002879238345092,0.2160435694926120,0.1025036001942850,-1.506972881294980,30,7.8,106209.1033,17.55169578,19.89002867,23.32717593,15.463366,15.117171,6.238913033,6.475,0.016082369,0.00053475,0.004411472,0.331014647,0.157052548,0.46294126
